affy_U133Plus2
Genbank Acc	GO
AY177407	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0006357(regulation of transcription from RNA polymerase II promoter) GO:0007275(development) GO:0009952(anterior/posterior pattern formation) GO:0030528(transcription regulator activity) GO:0030900(forebrain development) GO:0030901(midbrain development) GO:0043565(sequence-specific DNA binding) GO:0045449(regulation of transcription)
NM_152860	
NM_002604	
NM_054026	
NM_145311	
NM_152891	
NM_152891	
NM_152769	
NM_152769	
AL833526	
NM_052887	
NM_052971	
BC001526	
NM_033128	
AF276507	
NM_080618	
NM_173487	
BC016358	
BC016358	
NM_032433	GO:0003676(nucleic acid binding) GO:0003677(DNA binding) GO:0005634(nucleus)
NM_145301	
NM_172037	
BG677577	
NM_080743	
NM_153606	
NM_153606	
NM_152687	
NM_152514	
NM_173549	
NM_173549	
NM_152610	
NM_152512	
NM_152512	
NM_052841	
NM_080827	
NM_138337	
NM_145696	
NM_152335	
NM_138332	
NM_138705	
NM_153447	
NM_153007	
NM_153007	
NM_173535	
NM_152251	
NM_152251	
NM_147198	
NM_147198	
NM_152905	
NM_153254	
NM_153254	
NM_145046	
NM_145022	
NM_005240	
NM_152467	
NM_152467	
NM_078474	
NM_145312	
NM_170710	
BC040487	
NM_052836	GO:0005351(sugar porter activity) GO:0005509(calcium ion binding) GO:0005515(protein binding) GO:0005615(extracellular space) GO:0005929(cilium) GO:0005932(basal body) GO:0007155(cell adhesion) GO:0007605(sensory perception of sound) GO:0009401(phosphoenolpyruvate-dependent sugar phosphotransferase system) GO:0016021(integral to membrane) GO:0016339(calcium-dependent cell-cell adhesion)
NM_144708	
NM_032445	
BC034761	
NM_153448	
NM_054017	
NM_145651	
NM_173650	
NM_173479	
NM_173479	
NM_138818	
NM_144614	
NM_052866	
NM_145208	
NM_145208	
NM_152630	
NM_080475	
NM_145033	
NM_148676	
NM_148676	
NM_148914	
NM_012287	
NM_138924	
NM_138924	
NM_133373	
BC014852	
NM_006147	
NM_080923	
NM_006699	
NM_025252	
NM_144775	
NM_171846	
NM_171846	
NM_001717	
NM_033066	
NM_145315	
NM_033261	
NM_000497	
NM_138572	
NM_015198	
NM_052931	
NM_145238	
NM_145238	
NM_170699	
NM_017821	
NM_032863	
NM_032430	
NM_173689	
NM_080671	
NM_080671	
NM_145273	
NM_080877	GO:0005386(carrier activity) GO:0005887(integral to plasma membrane) GO:0006810(transport) GO:0006811(ion transport) GO:0006814(sodium ion transport) GO:0006817(phosphate transport) GO:0015293(symporter activity) GO:0015321(sodium-dependent phosphate transporter activity) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016324(apical plasma membrane) GO:0031402(sodium ion binding)
NM_020361	
NM_152613	
NM_152696	
NM_152696	
NM_022045	
NM_145259	GO:0000166(nucleotide binding) GO:0000287(magnesium ion binding) GO:0001655(urogenital system development) GO:0001701(embryonic development (sensu Mammalia)) GO:0001755(neural crest cell migration) GO:0004672(protein kinase activity) GO:0004674(protein serine/threonine kinase activity) GO:0004675(transmembrane receptor protein serine/threonine kinase activity) GO:0004702(receptor signaling protein serine/threonine kinase activity) GO:0004713(protein-tyrosine kinase activity) GO:0004872(receptor activity) GO:0005024(transforming growth factor beta receptor activity) GO:0005515(protein binding) GO:0005524(ATP binding) GO:0005615(extracellular space) GO:0005887(integral to plasma membrane) GO:0006468(protein amino acid phosphorylation) GO:0007178(transmembrane receptor protein serine/threonine kinase signaling pathway) GO:0007179(transforming growth factor beta receptor signaling pathway) GO:0007281(germ cell development) GO:0007368(determination of left/right symmetry) GO:0007507(heart development) GO:0008354(germ cell migration) GO:0009790(embryonic development) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016301(kinase activity) GO:0016361(activin receptor activity, type I) GO:0016740(transferase activity) GO:0030145(manganese ion binding) GO:0030199(collagen fibril organization) GO:0046872(metal ion binding) GO:0048663(neuron fate commitment) GO:0050431(transforming growth factor beta binding) EC 2 EC 2.7.1.37 EC 2.7.10.2
BC030710	
BC030710	
NM_145720	
NM_145720	
NM_053017	
NM_153364	
NM_058189	
NM_145007	
NM_144583	
NM_148960	
NM_145206	
NM_145027	
NM_138451	
NM_138810	
NM_138810	
NM_033104	
BC040857	
NM_144652	
NM_057176	
NM_057176	
NM_130441	
NM_021209	
AY027790	
NM_173502	
NM_144969	
NM_152256	
NM_139158	GO:0000082(G1/S transition of mitotic cell cycle) GO:0000083(G1/S-specific transcription in mitotic cell cycle) GO:0004693(cyclin-dependent protein kinase activity) GO:0005515(protein binding) GO:0007089(traversing start control point of mitotic cell cycle)
NM_144694	GO:0000004(biological process unknown) GO:0003676(nucleic acid binding) GO:0005554(molecular function unknown) GO:0005622(intracellular) GO:0005634(nucleus) GO:0006355(regulation of transcription, DNA-dependent) GO:0008372(cellular component unknown)
NM_145656	
NM_153205	
NM_144587	
NM_031440	
NM_031440	
NM_144991	
NM_138731	
NM_138731	
NM_153344	
NM_145300	
NM_138995	
NM_003813	
NM_173553	
NM_172025	
NM_172025	
NM_153701	
NM_172196	
NM_145068	GO:0004872(receptor activity) GO:0005216(ion channel activity) GO:0005261(cation channel activity) GO:0005262(calcium channel activity) GO:0005509(calcium ion binding) GO:0006810(transport) GO:0006811(ion transport) GO:0006812(cation transport) GO:0006816(calcium ion transport) GO:0009266(response to temperature stimulus) GO:0016020(membrane) GO:0016021(integral to membrane)
NM_173538	
NM_173538	
NM_145189	
NM_147191	
NM_139172	
NM_139285	
NM_133490	
NM_152990	
NM_145811	
NM_153203	
NM_153203	
NM_173168	
NM_147197	
NM_172139	
NM_002227	GO:0000166(nucleotide binding) GO:0004672(protein kinase activity) GO:0004674(protein serine/threonine kinase activity) GO:0004713(protein-tyrosine kinase activity) GO:0004718(Janus kinase activity) GO:0004872(receptor activity) GO:0005515(protein binding) GO:0005524(ATP binding) GO:0005856(cytoskeleton) GO:0006468(protein amino acid phosphorylation) GO:0007242(intracellular signaling cascade) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016301(kinase activity) GO:0016740(transferase activity) GO:0018108(peptidyl-tyrosine phosphorylation) EC 2 EC 2.7.1.37 EC 2.7.10.2
AL555086	GO:0000166(nucleotide binding) GO:0004672(protein kinase activity) GO:0004674(protein serine/threonine kinase activity) GO:0004713(protein-tyrosine kinase activity) GO:0004718(Janus kinase activity) GO:0004872(receptor activity) GO:0005515(protein binding) GO:0005524(ATP binding) GO:0005856(cytoskeleton) GO:0006468(protein amino acid phosphorylation) GO:0007242(intracellular signaling cascade) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016301(kinase activity) GO:0016740(transferase activity) GO:0018108(peptidyl-tyrosine phosphorylation) EC 2 EC 2.7.1.37 EC 2.7.10.2
NM_020240	
NM_020240	
NM_001093	
NM_001093	
NM_022457	
NM_005819	
NM_018685	
NM_173080	
BQ613856	
BQ613856	
BC025237	
AB063105	
NM_030923	
NM_001173	
NM_022373	
NM_015167	GO:0001568(blood vessel development) GO:0004872(receptor activity) GO:0005554(molecular function unknown) GO:0005634(nucleus) GO:0005886(plasma membrane) GO:0006915(apoptosis) GO:0007166(cell surface receptor linked signal transduction) GO:0007275(development) GO:0007507(heart development) GO:0030154(cell differentiation) GO:0043066(negative regulation of apoptosis)
NM_006662	
NM_145319	
BC012375	
NM_033204	
NM_033204	
NM_080601	
NM_138433	
NM_031921	
NM_145297	
NM_024947	
NM_147162	
NM_003844	
NM_057178	
AK093112	
NM_152843	
NM_144624	
NM_032243	
NM_014903	
BC021215	
NM_032101	GO:0005509(calcium ion binding) GO:0005515(protein binding) GO:0005624(membrane fraction)
NM_032101	GO:0005509(calcium ion binding) GO:0005515(protein binding) GO:0005624(membrane fraction)
NM_015064	
NM_144997	
NM_032903	
NM_020794	GO:0005515(protein binding) GO:0006605(protein targeting) GO:0007242(intracellular signaling cascade) GO:0016323(basolateral plasma membrane)
NM_005489	
NM_024607	
NM_024607	
NM_032591	
NM_001542	
NM_173560	
NM_052952	
NM_145174	
NM_053049	
NM_015151	
NM_020886	
NM_020380	
NM_144508	
NM_145204	
NM_014552	
NM_080834	
NM_080834	
NM_020764	
NM_172364	
NM_138450	
NM_138450	
NM_052885	
NM_052885	
NM_144599	
NM_145042	
NM_052889	
NM_052889	
BC035000	
AB038770	
NM_144607	
NM_170706	
NM_000342	
NM_153836	
NM_021634	
NM_144722	
NM_153243	
NM_080820	
NM_138423	
NM_033136	GO:0000074(regulation of progression through cell cycle) GO:0001525(angiogenesis) GO:0001759(induction of an organ) GO:0005104(fibroblast growth factor receptor binding) GO:0005578(extracellular matrix (sensu Metazoa)) GO:0005615(extracellular space) GO:0007165(signal transduction) GO:0007275(development) GO:0008083(growth factor activity) GO:0008201(heparin binding) GO:0008283(cell proliferation) GO:0030154(cell differentiation) GO:0030324(lung development)
NM_016300	
AY099086	
NM_139057	
AA022668	
AA022668	
NM_032887	
NM_021044	GO:0001569(patterning of blood vessels) GO:0001570(vasculogenesis) GO:0001656(metanephros development) GO:0001658(ureteric bud branching) GO:0001708(cell fate specification) GO:0001747(eye development (sensu Mammalia)) GO:0001755(neural crest cell migration) GO:0005515(protein binding) GO:0005615(extracellular space) GO:0006508(proteolysis) GO:0007154(cell communication) GO:0007165(signal transduction) GO:0007224(smoothened signaling pathway) GO:0007267(cell-cell signaling) GO:0007275(development) GO:0007389(pattern specification) GO:0007405(neuroblast proliferation) GO:0007411(axon guidance) GO:0007417(central nervous system development) GO:0007435(salivary gland morphogenesis) GO:0007507(heart development) GO:0008209(androgen metabolism) GO:0008233(peptidase activity) GO:0008284(positive regulation of cell proliferation) GO:0009790(embryonic development) GO:0009887(organ morphogenesis) GO:0009953(dorsal/ventral pattern formation) GO:0009986(cell surface) GO:0016020(membrane) GO:0016539(intein-mediated protein splicing) GO:0016787(hydrolase activity) GO:0030162(regulation of proteolysis) GO:0030324(lung development) GO:0030326(embryonic limb morphogenesis) GO:0030336(negative regulation of cell migration) GO:0030539(male genitalia development) GO:0030850(prostate gland development) GO:0030900(forebrain development) GO:0030901(midbrain development) GO:0030902(hindbrain development) GO:0042127(regulation of cell proliferation) GO:0042733(embryonic digit morphogenesis) GO:0043237(laminin-1 binding) GO:0045121(lipid raft) GO:0045596(negative regulation of cell differentiation) GO:0048468(cell development) GO:0048754(branching morphogenesis of a tube) EC 3
NM_139166	
AL832152	
NM_172193	
NM_152756	
AL832028	
NM_138966	
NM_007014	
NM_138729	
NM_138729	
NM_144706	
NM_144633	
NM_024979	
NM_173488	
NM_144714	
NM_145275	
NM_054113	
NM_054113	
NM_153184	
AA640422	
NM_152569	
AI478419	
NM_058176	GO:0000122(negative regulation of transcription from RNA polymerase II promoter) GO:0003714(transcription corepressor activity) GO:0004407(histone deacetylase activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0005737(cytoplasm) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007507(heart development) GO:0016481(negative regulation of transcription) GO:0016564(transcriptional repressor activity) GO:0016568(chromatin modification) GO:0016787(hydrolase activity) EC 3
BM726008	GO:0000122(negative regulation of transcription from RNA polymerase II promoter) GO:0003714(transcription corepressor activity) GO:0004407(histone deacetylase activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0005737(cytoplasm) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007507(heart development) GO:0016481(negative regulation of transcription) GO:0016564(transcriptional repressor activity) GO:0016568(chromatin modification) GO:0016787(hydrolase activity) EC 3
NM_153357	
NM_153704	
NM_153704	
NM_147174	
NM_147174	
NM_172207	
NM_145233	
NM_145276	
NM_173083	
NM_080387	
BC032313	
NM_004277	
NM_148963	
NM_139165	
NM_152697	
AK091400	
NM_152475	
NM_152605	
NM_033647	
NM_033647	
NM_153039	
NM_153039	
NM_006073	GO:0000004(biological process unknown) GO:0005515(protein binding) GO:0016020(membrane) GO:0016021(integral to membrane)
NM_080867	
NM_173687	
NM_173631	
NM_005068	GO:0000155(two-component sensor activity) GO:0000160(two-component signal transduction system (phosphorelay)) GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0004871(signal transducer activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007165(signal transduction) GO:0007275(development) GO:0007399(nervous system development) GO:0030154(cell differentiation) GO:0030528(transcription regulator activity) GO:0045449(regulation of transcription)
NM_144707	
NM_138557	GO:0003824(catalytic activity) GO:0004872(receptor activity) GO:0004888(transmembrane receptor activity) GO:0006954(inflammatory response) GO:0006955(immune response) GO:0007249(I-kappaB kinase/NF-kappaB cascade) GO:0008152(metabolism) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade) GO:0045087(innate immune response) GO:0046330(positive regulation of JNK cascade)
NM_145003	
NM_148916	
NM_144575	
NM_152497	
NM_148910	
NM_033130	
AF301007	
NM_139264	
NM_002920	
NM_053284	
NM_014554	
NM_138693	GO:0003676(nucleic acid binding) GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0004872(receptor activity) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0006357(regulation of transcription from RNA polymerase II promoter) GO:0007212(dopamine receptor signaling pathway) GO:0008270(zinc ion binding) GO:0046872(metal ion binding)
NM_138693	GO:0003676(nucleic acid binding) GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0004872(receptor activity) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0006357(regulation of transcription from RNA polymerase II promoter) GO:0007212(dopamine receptor signaling pathway) GO:0008270(zinc ion binding) GO:0046872(metal ion binding)
NM_145283	
NM_001727	
NM_153454	
NM_019022	
NM_145756	
NM_134266	
NM_134266	
NM_052870	
NM_018505	
NM_153230	
NM_138706	
BC025357	
NM_144977	
NM_173656	GO:0000004(biological process unknown) GO:0005554(molecular function unknown) GO:0008372(cellular component unknown)
NM_173041	
NM_173526	
NM_138724	
NM_153456	
NM_134425	
NM_138429	
NM_152304	
NM_173495	
NM_138804	
NM_152677	
NM_152677	
NM_144623	
NM_144623	
NM_153238	
NM_000871	
NM_173523	
NM_145653	
NM_173639	
NM_145815	
NM_152590	
NM_138474	
NM_152480	
NM_144696	
NM_025091	
NM_025091	
NM_138939	
NM_153755	
NM_153755	
BC032621	
BC032621	
NM_033127	GO:0000004(biological process unknown) GO:0005554(molecular function unknown) GO:0008372(cellular component unknown)
NM_152424	
NM_152568	
NM_152568	
NM_152710	
NM_138568	
NM_145200	
NM_052945	
NM_033259	
NM_153773	
NM_133329	
AF348982	
NM_153224	
NM_153224	
NM_148898	GO:0000122(negative regulation of transcription from RNA polymerase II promoter) GO:0003676(nucleic acid binding) GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0008270(zinc ion binding) GO:0008372(cellular component unknown) GO:0016481(negative regulation of transcription) GO:0016564(transcriptional repressor activity) GO:0042803(protein homodimerization activity) GO:0043565(sequence-specific DNA binding) GO:0046872(metal ion binding) GO:0046982(protein heterodimerization activity)
NM_153446	
NM_138999	
NM_152578	
NM_145278	
NM_052884	
AB072038	
NM_144701	
NM_173699	
NM_025240	
NM_172138	
NM_172140	
NM_144645	
NM_022116	
NM_014989	
NM_020845	
AL133612	
NM_020815	GO:0005509(calcium ion binding) GO:0005615(extracellular space) GO:0005887(integral to plasma membrane) GO:0007155(cell adhesion) GO:0007156(homophilic cell adhesion) GO:0016020(membrane) GO:0016021(integral to membrane)
NM_152787	
NM_152787	
NM_139209	
NM_033467	
NM_002605	
NM_138329	
NM_152763	
NM_152694	
NM_130384	
NM_033132	GO:0001843(neural tube closure) GO:0003676(nucleic acid binding) GO:0003677(DNA binding) GO:0005634(nucleus) GO:0008270(zinc ion binding) GO:0030154(cell differentiation) GO:0030900(forebrain development) GO:0046872(metal ion binding)
NM_139290	GO:0001525(angiogenesis) GO:0005172(vascular endothelial growth factor receptor binding) GO:0005615(extracellular space) GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway) GO:0007275(development) GO:0007492(endoderm development) GO:0030154(cell differentiation)
NM_172000	
NM_153009	
NM_173536	
NM_052839	
NM_153608	
NM_153608	
NM_152492	
NM_173528	
NM_144971	
NM_006160	
NM_173668	
NM_054029	
NM_145299	
NM_130830	
NM_032908	
NM_173572	
NM_145236	
NM_152577	
NM_145310	
NM_145310	
NM_139167	
NM_152711	
NM_003396	
NM_014130	
NM_014130	
NM_153614	
NM_006586	
NM_052822	
NM_173513	
NM_138612	
NM_002007	GO:0000074(regulation of progression through cell cycle) GO:0005104(fibroblast growth factor receptor binding) GO:0005615(extracellular space) GO:0007165(signal transduction) GO:0008083(growth factor activity) GO:0008283(cell proliferation) GO:0008284(positive regulation of cell proliferation) GO:0019827(stem cell maintenance) GO:0030326(embryonic limb morphogenesis) GO:0035116(embryonic hindlimb morphogenesis) GO:0042475(odontogenesis (sensu Vertebrata)) GO:0043066(negative regulation of apoptosis)
NM_173851	
NM_138470	
NM_153241	
NM_152587	
NM_152656	
NM_153444	
NM_138812	
NM_145659	
NM_152397	
NM_153325	
NM_172006	
NM_152250	
NM_170724	
NM_138295	
NM_153834	
NM_014253	GO:0000165(MAPKKK cascade) GO:0000902(cellular morphogenesis) GO:0003712(transcription cofactor activity) GO:0004289(subtilase activity) GO:0005102(receptor binding) GO:0005176(ErbB-2 class receptor binding) GO:0005737(cytoplasm) GO:0005886(plasma membrane) GO:0005887(integral to plasma membrane) GO:0006508(proteolysis) GO:0007399(nervous system development) GO:0007416(synaptogenesis) GO:0007422(peripheral nervous system development) GO:0007507(heart development) GO:0007517(muscle development) GO:0007626(locomotory behavior) GO:0009790(embryonic development) GO:0010001(glial cell differentiation) GO:0016021(integral to membrane) GO:0016477(cell migration) GO:0016481(negative regulation of transcription) GO:0042055(neuron lineage restriction) GO:0045202(synapse) GO:0045213(neurotransmitter receptor metabolism) GO:0045595(regulation of cell differentiation) GO:0045860(positive regulation of protein kinase activity) GO:0046579(positive regulation of Ras protein signal transduction)
NM_172239	
NM_153809	
NM_130773	GO:0000004(biological process unknown) GO:0005515(protein binding) GO:0007155(cell adhesion) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0030425(dendrite)
NM_004260	
NM_153835	
NM_080751	
NM_144774	
NM_015250	
NM_052882	GO:0000004(biological process unknown) GO:0003676(nucleic acid binding) GO:0005554(molecular function unknown) GO:0005622(intracellular) GO:0005634(nucleus) GO:0006355(regulation of transcription, DNA-dependent) GO:0008270(zinc ion binding) GO:0008372(cellular component unknown)
NM_024505	
NM_172368	
NM_020455	
NM_057162	
NM_153002	
NM_000456	
NM_153838	
NM_139017	
NM_138780	
NM_006642	
NM_153839	
NM_133625	
NM_080871	
NM_130770	
NM_032721	
NM_139018	
NM_032602	
NM_003395	
NM_022134	
NM_138687	GO:0005515(protein binding) GO:0005783(endoplasmic reticulum) GO:0016020(membrane) GO:0016301(kinase activity) GO:0016308(1-phosphatidylinositol-4-phosphate 5-kinase activity) GO:0016740(transferase activity) GO:0046488(phosphatidylinositol metabolism) EC 2 EC 2.7.1.68
NM_138687	GO:0005515(protein binding) GO:0005783(endoplasmic reticulum) GO:0016020(membrane) GO:0016301(kinase activity) GO:0016308(1-phosphatidylinositol-4-phosphate 5-kinase activity) GO:0016740(transferase activity) GO:0046488(phosphatidylinositol metabolism) EC 2 EC 2.7.1.68
NM_053280	
NM_172005	
NM_152777	
NM_144975	
NM_080474	
NM_133261	GO:0005096(GTPase activator activity) GO:0005515(protein binding) GO:0005829(cytosol) GO:0006605(protein targeting) GO:0007186(G-protein coupled receptor protein signaling pathway) GO:0016020(membrane)
NM_052891	
NM_033126	
NM_033519	
NM_058165	
NM_080819	
NM_153833	
NM_175057	
NM_057163	
NM_153455	
NM_133371	
NM_133371	
NM_138279	
NM_080873	
AF548121	
NM_153003	
NM_148897	GO:0001523(retinoid metabolism) GO:0004745(retinol dehydrogenase activity) GO:0005615(extracellular space) GO:0008152(metabolism) GO:0008202(steroid metabolism) GO:0016229(steroid dehydrogenase activity) GO:0016491(oxidoreductase activity) EC 1 EC 1.1.1.105
NM_153445	
NM_138700	
NM_173085	
NM_080869	
NM_144727	
NM_032363	
NM_139171	
NM_144663	
NM_032362	
NM_138626	
NM_080736	
NM_153323	
NM_170685	GO:0005102(receptor binding) GO:0005615(extracellular space) GO:0007217(tachykinin signaling pathway) GO:0007268(synaptic transmission) GO:0046878(positive regulation of saliva secretion)
NM_138627	
NM_145702	
NM_017758	
BC016647	
NM_147134	
NM_001943	GO:0005509(calcium ion binding) GO:0005515(protein binding) GO:0005856(cytoskeleton) GO:0007155(cell adhesion) GO:0007156(homophilic cell adhesion) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0030057(desmosome)
NM_152409	
BF436799	
AW068615	
NM_152903	
