locusLinkId,name,Product,chrom,txStart,txEnd,Ref_Seq
55052,MRPL20,mitochondrial ribosomal protein L20,chr1,1422563,1427928,NM_017971
64856,WARP,von Willebrand factor A domain-related protein,chr1,1456175,1461412,NM_022834
64856,WARP,von Willebrand factor A domain-related protein,chr1,1456175,1461412,NM_199121
219293,FLJ37183,hypothetical protein LOC219293,chr1,1483313,1490805,NM_198466
83858,ATAD3B,AAA-ATPase  TOB3,chr1,1492475,1516848,NM_031921
55210,ATAD3A,"ATPase family, AAA domain containing 3A",chr1,1532821,1555331,NM_018188
29101,HSPC182,HSPC182 protein,chr1,1562320,1595529,NM_014188
985,CDC2L2,cell division cycle 2-like 2 isoform 7,chr1,1666481,1683031,NM_033534
985,CDC2L2,cell division cycle 2-like 2 isoform 1,chr1,1666481,1686433,NM_033536
985,CDC2L2,cell division cycle 2-like 2 isoform 9,chr1,1666481,1686433,NM_033537
9906,SLC35E2,"solute carrier family 35, member E2",chr1,1695842,1709593,NM_182838
65220,NADK,NAD kinase,chr1,1714834,1742071,NM_023018
2782,GNB1,"guanine nucleotide-binding protein, beta-1",chr1,1748891,1854657,NM_002074
163688,CALML6,calmodulin-like 6,chr1,1878427,1880895,NM_138705
339456,LOC339456,hypothetical protein LOC339456,chr1,1881191,1882873,NM_178545
339457,LOC339457,hypothetical protein LOC339457,chr1,1885558,1891530,NM_001003808
2563,GABRD,"gamma-aminobutyric acid (GABA) A receptor,",chr1,1983004,1994352,NM_000815
5590,PRKCZ,"protein kinase C, zeta",chr1,2014070,2148996,NM_002744
199990,FLJ31031,hypothetical protein LOC199990,chr1,2148078,2158376,NM_182533
6497,SKI,v-ski sarcoma viral oncogene homolog,chr1,2192295,2271618,NM_003036
79906,FLJ13941,hypothetical protein LOC79906,chr1,2284857,2355155,NM_024848
11079,RER1,RER1 retention in endoplasmic reticulum 1,chr1,2355490,2367350,NM_007033
5192,PEX10,peroxisome biogenesis factor 10 isoform 2,chr1,2368404,2376172,NM_002617
5192,PEX10,peroxisome biogenesis factor 10 isoform 1,chr1,2368404,2376172,NM_153818
55229,PANK4,pantothenate kinase 4,chr1,2472136,2490197,NM_018216
388585,HES5,hairy and enhancer of split 5,chr1,2492347,2493846,NM_001010926
8764,TNFRSF14,"tumor necrosis factor receptor superfamily,",chr1,2521454,2528915,NM_003820
127281,MGC26818,hypothetical protein LOC127281,chr1,2550410,2555064,NM_152371
79258,MELL1,mel transforming oncogene-like 1,chr1,2554242,2596591,NM_033467
140625,ARPM2,actin-related protein M2,chr1,2961222,2962622,NM_080431
63976,PRDM16,PR domain containing 16 isoform 1,chr1,3008900,3378340,NM_022114
63976,PRDM16,PR domain containing 16 isoform 2,chr1,3008900,3378340,NM_199454
27237,ARHGEF16,Rho guanine exchange factor 16,chr1,3403278,3420832,NM_014448
1953,EGFL3,"EGF-like-domain, multiple 3",chr1,3429640,3471169,NM_001409
127262,LOC127262,hypothetical protein LOC127262,chr1,3564722,3569846,NM_182752
49856,WDR8,WD repeat domain 8 protein,chr1,3570496,3589794,NM_017818
7161,TP73,tumor protein p73,chr1,3592285,3673013,NM_005427
57212,KIAA0495,KIAA0495,chr1,3676869,3686347,NM_207306
148870,FLJ32825,hypothetical protein LOC148870,chr1,3692118,3711366,NM_152492
57470,RP1-286D6.3,hypothetical protein LOC57470,chr1,3719940,3736225,NM_020710
9731,KIAA0562,"glycine-, glutamate-,",chr1,3751809,3796908,NM_014704
1677,DFFB,"DNA fragmentation factor, 40 kD, beta",chr1,3797001,3825149,NM_001004285
1677,DFFB,"DNA fragmentation factor, 40 kD, beta",chr1,3797001,3825149,NM_001004286
1677,DFFB,"DNA fragmentation factor, 40 kD, beta",chr1,3797001,3825149,NM_004402
339448,LOC339448,hypothetical protein LOC339448,chr1,3828854,3840006,NM_207356
55966,SHREW1,transmembrane protein SHREW1,chr1,4625477,4754223,NM_018836
261734,NPHP4,nephroretinin,chr1,5857135,5986797,NM_015102
8514,KCNAB2,"potassium voltage-gated channel, shaker-related",chr1,6020645,6094789,NM_003636
8514,KCNAB2,"potassium voltage-gated channel, shaker-related",chr1,6020645,6094789,NM_172130
26038,CHD5,chromodomain helicase DNA binding protein 5,chr1,6096118,6174449,NM_015557
6146,RPL22,ribosomal protein L22 proprotein,chr1,6179346,6193945,NM_000983
388591,FLJ46380,hypothetical protein LOC388591,chr1,6199800,6202632,NM_207396
148646,FLJ32096,hypothetical protein LOC148646,chr1,6203185,6215125,NM_173795
23463,ICMT,isoprenylcysteine carboxyl methyltransferase,chr1,6215519,6230298,NM_012405
23463,ICMT,isoprenylcysteine carboxyl methyltransferase,chr1,6215519,6230298,NM_170705
148645,MGC40168,hypothetical protein LOC148645,chr1,6232136,6233766,NM_153709
387509,GPR153,G protein-coupled receptor 153,chr1,6243121,6255301,NM_207370
11332,BACH,brain acyl-CoA hydrolase isoform hBACHd,chr1,6258598,6353233,NM_181866
11332,BACH,brain acyl-CoA hydrolase isoform hBACHc,chr1,6258598,6354986,NM_181865
11332,BACH,brain acyl-CoA hydrolase isoform hBACHb,chr1,6258598,6380139,NM_181864
11332,BACH,brain acyl-CoA hydrolase isoform hBACHa,chr1,6258598,6388087,NM_007274
11332,BACH,brain acyl-CoA hydrolase isoform hBACHa/X,chr1,6258598,6388087,NM_181862
11332,BACH,brain acyl-CoA hydrolase isoform hBACHa/Xi,chr1,6258598,6388087,NM_181863
54626,HES2,hairy and enhancer of split homolog 2,chr1,6409561,6414245,NM_019089
83715,ESPN,espin,chr1,6419113,6455255,NM_031475
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_003790
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_148965
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_148966
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_148967
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_148968
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_148969
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_148970
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_148971
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_148972
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_148973
8718,TNFRSF25,"tumor necrosis factor receptor superfamily,",chr1,6455481,6460521,NM_148974
57449,KIAA0720,putative NFkB activating protein isoform a,chr1,6461138,6486026,NM_020631
57449,KIAA0720,putative NFkB activating protein isoform b,chr1,6461138,6514335,NM_198681
79707,FLJ23323,hypothetical protein LOC79707,chr1,6519475,6548847,NM_024654
80835,TAS1R1,sweet taste receptor T1r isoform b,chr1,6549699,6574082,NM_138697
80835,TAS1R1,sweet taste receptor T1r isoform a,chr1,6549699,6574082,NM_177539
80835,TAS1R1,sweet taste receptor T1r isoform c,chr1,6549699,6574082,NM_177540
80835,TAS1R1,sweet taste receptor T1r isoform d,chr1,6549699,6574082,NM_177541
3104,HKR3,GLI-Kruppel family member HKR3,chr1,6574376,6583605,NM_005341
9903,KLHL21,kelch-like 21,chr1,6585050,6597195,NM_014851
148479,PHF13,PHD finger protein 13,chr1,6608010,6618322,NM_153812
90326,THAP3,"THAP domain containing, apoptosis associated",chr1,6619517,6629911,NM_138350
55735,DNAJC11,"DnaJ (Hsp40) homolog, subfamily C, member 11",chr1,6628496,6696139,NM_018198
23261,CAMTA1,calmodulin-binding transcription activator 1,chr1,6779649,7764029,NM_015215
9341,VAMP3,vesicle-associated membrane protein 3,chr1,7765594,7775757,NM_004781
8863,PER3,period 3,chr1,7779028,7839503,NM_016831
10911,UTS2,"urotensin 2 preproprotein, isoform b",chr1,7841940,7847361,NM_006786
10911,UTS2,"urotensin 2 preproprotein, isoform a",chr1,7841940,7847838,NM_021995
3604,TNFRSF9,"tumor necrosis factor receptor superfamily,",chr1,7914172,7935153,NM_001561
11315,PARK7,DJ-1 protein,chr1,7956058,7979602,NM_007262
54206,MIG-6,mitogen-inducible gene 6 protein,chr1,8006060,8020622,NM_018948
473,RERE,arginine-glutamic acid dipeptide (RE) repeats,chr1,8346722,8811790,NM_012102
54744,DKFZp566H0824,hypothetical protein LOC54744,chr1,8374683,8382759,NM_017535
2023,ENO1,enolase 1,chr1,8855328,8873046,NM_001428
765,CA6,carbonic anhydrase VI precursor,chr1,8940207,8969412,NM_001215
155184,SLC2A7,intestinal facilitative glucose transporter 7,chr1,8997624,9020670,NM_207420
6518,SLC2A5,solute carrier family 2 (facilitated,chr1,9031272,9063936,NM_003039
80045,GPR157,G protein-coupled receptor 157,chr1,9098741,9123495,NM_024980
440558,LOC440558,hypothetical protein LOC440558,chr1,9176330,9196944,NM_001013707
9563,H6PD,hexose-6-phosphate dehydrogenase precursor,chr1,9229099,9260797,NM_004285
80176,SSB1,SPRY domain-containing SOCS box protein SSB-1,chr1,9287249,9363854,NM_025106
84275,MGC4399,mitochondrial carrier protein MGC4399,chr1,9533823,9577099,NM_032315
199953,RP13-15M17.2,hypothetical protein LOC199953,chr1,9583245,9599272,NM_001010866
5293,PIK3CD,"phosphoinositide-3-kinase, catalytic, delta",chr1,9646068,9723240,NM_005026
22883,CLSTN1,calsyntenin 1 isoform 1,chr1,9723345,9818816,NM_001009566
22883,CLSTN1,calsyntenin 1 isoform 2,chr1,9723345,9818816,NM_014944
56998,CTNNBIP1,"catenin, beta interacting protein 1",chr1,9842599,9904582,NM_001012329
56998,CTNNBIP1,"catenin, beta interacting protein 1",chr1,9842599,9904582,NM_020248
84328,LZIC,leucine zipper and CTNNBIP1 domain containing,chr1,9924043,9937092,NM_032368
64802,NMNAT1,nicotinamide nucleotide adenylyltransferase 1,chr1,9937752,9977979,NM_022787
116362,RBP7,"retinol binding protein 7, cellular",chr1,9991539,10010343,NM_052960
10277,UBE4B,ubiquitination factor E4B,chr1,10027308,10175560,NM_006048
23095,KIF1B,kinesin family member 1B isoform alpha,chr1,10205096,10301081,NM_183416
23095,KIF1B,kinesin family member 1B isoform b,chr1,10205096,10375920,NM_015074
5226,PGD,phosphogluconate dehydrogenase,chr1,10393350,10414467,NM_002631
378708,APITD1,"apoptosis-inducing, TAF9-like domain 1 isoform",chr1,10424424,10437130,NM_199294
378708,APITD1,"apoptosis-inducing, TAF9-like domain 1 isoform",chr1,10425065,10437130,NM_199295
1325,CORT,cortistatin preproprotein,chr1,10444236,10446223,NM_001302
1676,DFFA,"DNA fragmentation factor, 45kDa, alpha",chr1,10454870,10466879,NM_004401
1676,DFFA,"DNA fragmentation factor, 45kDa, alpha",chr1,10454870,10466879,NM_213566
5195,PEX14,peroxisomal biogenesis factor 14,chr1,10469284,10625079,NM_004565
54897,FLJ20321,hypothetical protein LOC54897,chr1,10641543,10688228,NM_017766
148345,FLJ37118,hypothetical protein LOC148345,chr1,10940798,10958524,NM_173507
23435,TARDBP,TAR DNA binding protein,chr1,11006944,11019814,NM_007375
10747,MASP2,mannan-binding lectin serine protease 2 isoform,chr1,11020846,11041551,NM_006610
10747,MASP2,mannan-binding lectin serine protease 2 isoform,chr1,11039121,11041551,NM_139208
6723,SRM,spermidine synthase,chr1,11048914,11054357,NM_003132
5394,EXOSC10,exosome component 10 isoform 1,chr1,11060942,11094204,NM_001001998
5394,EXOSC10,exosome component 10 isoform 2,chr1,11060942,11094204,NM_002685
2475,FRAP1,FK506 binding protein 12-rapamycin associated,chr1,11100857,11256830,NM_004958
10218,ANGPTL7,angiopoietin-like 7,chr1,11183663,11190303,NM_021146
29914,TERE1,transitional epithelia response protein,chr1,11267544,11280606,NM_013319
26232,FBXO2,F-box only protein 2,chr1,11642715,11649005,NM_012168
93611,FBXO44,F-box protein 44 isoform 2,chr1,11648697,11657649,NM_183412
93611,FBXO44,F-box protein 44 isoform 1,chr1,11649179,11657649,NM_033182
93611,FBXO44,F-box protein 44 isoform 2,chr1,11649179,11657649,NM_183413
93611,FBXO44,F-box protein 44 isoform 1,chr1,11649179,11657649,NM_001014765
26270,FBXO6,F-box only protein 6,chr1,11658446,11668673,NM_018438
10459,MAD2L2,MAD2 homolog,chr1,11668802,11675459,NM_006341
374946,LOC374946,hypothetical gene supported by AK075558;,chr1,11686051,11720180,NM_198545
57085,AGTRAP,angiotensin II receptor-associated protein,chr1,11730477,11745088,NM_020350
4524,MTHFR,"5,10-methylenetetrahydrofolate reductase",chr1,11780944,11800248,NM_005957
1185,CLCN6,chloride channel 6 isoform ClC-6a,chr1,11800559,11837451,NM_001286
1185,CLCN6,chloride channel 6 isoform ClC-6b,chr1,11800559,11837451,NM_021735
1185,CLCN6,chloride channel 6 isoform ClC-6c,chr1,11800559,11837451,NM_021736
1185,CLCN6,chloride channel 6 isoform ClC-6d,chr1,11800559,11837451,NM_021737
4878,NPPA,natriuretic peptide precursor A,chr1,11840041,11842101,NM_006172
4879,NPPB,natriuretic peptide precursor B,chr1,11851789,11853254,NM_002521
90231,MGC33867,hypothetical protein LOC90231,chr1,11914388,11920746,NM_138346
5351,PLOD1,lysyl hydroxylase precursor,chr1,11929011,11969860,NM_000302
9927,MFN2,mitofusin 2,chr1,11974634,12007833,NM_014874
60672,FLJ12438,"IGFBP-2-Binding Protein, IIp45",chr1,12013788,12026366,NM_021933
943,TNFRSF8,"tumor necrosis factor receptor superfamily,",chr1,12057699,12138528,NM_001243
943,TNFRSF8,"tumor necrosis factor receptor superfamily,",chr1,12120221,12138528,NM_152942
7133,TNFRSF1B,tumor necrosis factor receptor 2 precursor,chr1,12161325,12203542,NM_001066
55187,VPS13D,vacuolar protein sorting 13D isoform 2,chr1,12224378,12506362,NM_018156
55187,VPS13D,vacuolar protein sorting 13D isoform 1,chr1,12224378,12506362,NM_015378
9249,DHRS3,dehydrogenase/reductase (SDR family) member 3,chr1,12562205,12612086,NM_004753
343066,LOC343066,hypothetical protein LOC343066,chr1,12638831,12661362,NM_001013630
93190,MGC35194,hypothetical protein MGC35194,chr1,12740428,12755367,NM_152290
65121,LOC65121,hypothetical protein LOC65121,chr1,12785811,12790489,NM_023013
343069,LOC343069,hypothetical protein LOC343069,chr1,12841528,12842844,NM_001013631
65122,LOC65122,hypothetical protein LOC65122,chr1,12851206,12856030,NM_023014
400735,RP5-845O24.6,hypothetical protein LOC400735,chr1,12873310,12880291,NM_001009611
391002,LOC391002,hypothetical protein LOC391002,chr1,12910715,12914832,NM_001012276
441871,LOC441871,hypothetical protein LOC441871,chr1,12911778,12914498,NM_001012277
440561,LOC440561,hypothetical protein LOC440561,chr1,12932771,12936614,NM_001010889
401940,LOC401940,similar to dJ845O24.1 (Melanoma Preferentially,chr1,13073501,13076998,NM_001013692
343068,LOC343068,hypothetical protein LOC343068,chr1,13105124,13114363,NM_001013407
440561,LOC440561,hypothetical protein LOC440561,chr1,13110196,13114038,NM_001010889
391002,LOC391002,hypothetical protein LOC391002,chr1,13131954,13136071,NM_001012276
343070,LOC343070,hypothetical protein LOC343070,chr1,13166481,13173497,NM_001010890
391002,LOC391002,hypothetical protein LOC391002,chr1,13352739,13356856,NM_001012276
441871,LOC441871,hypothetical protein LOC441871,chr1,13353073,13355793,NM_001012277
343070,LOC343070,hypothetical protein LOC343070,chr1,13387278,13394294,NM_001010890
10630,T1A-2,lung type-I cell membrane-associated,chr1,13655557,13689756,NM_198389
10630,T1A-2,lung type-I cell membrane-associated,chr1,13655557,13689756,NM_006474
10630,T1A-2,lung type-I cell membrane-associated,chr1,13657272,13689756,NM_001006624
10630,T1A-2,lung type-I cell membrane-associated,chr1,13657272,13689756,NM_001006625
7799,PRDM2,retinoblastoma protein-binding zinc finger,chr1,13776655,13859875,NM_015866
7799,PRDM2,retinoblastoma protein-binding zinc finger,chr1,13776655,13896881,NM_012231
7799,PRDM2,retinoblastoma protein-binding zinc finger,chr1,13821181,13859875,NM_001007257
23254,KIAA1026,kazrin isoform A,chr1,14670518,15137598,NM_015209
23254,KIAA1026,kazrin isoform B,chr1,14995930,15137598,NM_001018000
23254,KIAA1026,kazrin isoform B,chr1,15001601,15137598,NM_001018001
23254,KIAA1026,kazrin isoform D,chr1,15017720,15137598,NM_001017999
399563,FLJ43806,hypothetical protein LOC399563,chr1,15173402,15189844,NM_201628
200197,FLJ23703,hypothetical protein LOC200197,chr1,15187754,15224266,NM_182534
55092,FLJ10199,hypothetical protein LOC55092,chr1,15225534,15292178,NM_018022
79180,EFHD2,"EF hand domain family, member D2",chr1,15481746,15502140,NM_024329
11330,CTRC,chymotrypsin C preproprotein,chr1,15510243,15518459,NM_007272
63036,ELA2A,elastase 2A preproprotein,chr1,15528529,15543888,NM_033440
51032,ELA2B,elastase 2B preproprotein,chr1,15547901,15563200,NM_015849
842,CASP9,caspase 9 isoform alpha preproprotein,chr1,15564102,15596096,NM_001229
842,CASP9,caspase 9 isoform beta preproprotein,chr1,15564102,15596096,NM_032996
23341,KIAA0962,hypothetical protein LOC23341,chr1,15598613,15640162,NM_015291
79814,AGMAT,agmatine ureohydrolase (agmatinase),chr1,15644457,15656911,NM_024758
84301,DDI2,DNA-damage inducible protein 2,chr1,15689375,15732054,NM_032341
6248,RSC1A1,"regulatory solute carrier protein, family 1,",chr1,15731669,15733523,NM_006511
284723,LOC284723,hypothetical protein LOC284723,chr1,15808114,15813190,NM_207348
388595,LOC388595,hypothetical protein LOC388595,chr1,15814222,15819781,NM_001013641
54751,FBLP-1,filamin-binding LIM protein-1,chr1,15828459,15857159,NM_017556
23013,SPEN,"spen homolog, transcriptional regulator",chr1,15919664,16012256,NM_015001
7709,ZBTB17,zinc finger and BTB domain containing 17,chr1,16013671,16047820,NM_003443
149563,MGC24047,hypothetical protein LOC149563,chr1,16076036,16078486,NM_178840
27129,HSPB7,"heat shock 27kDa protein family, member 7",chr1,16085830,16090257,NM_014424
1187,CLCNKA,chloride channel Ka,chr1,16094415,16105850,NM_004070
1188,CLCNKB,chloride channel Kb,chr1,16115657,16128782,NM_000085
348487,FLJ36766,hypothetical protein LOC348487,chr1,16129570,16145401,NM_182623
1969,EPHA2,ephrin receptor EphA2,chr1,16196138,16227870,NM_004431
128272,ARHGEF19,Rho guanine nucleotide exchange factor (GEF) 19,chr1,16269904,16284410,NM_153213
79363,MGC10731,hypothetical protein LOC79363,chr1,16303501,16308752,NM_030907
54455,FBXO42,F-box protein 42,chr1,16321865,16424254,NM_018994
26099,DKFZp566C0424,"putative MAPK activating protein PM20,PM21",chr1,16439025,16468170,NM_015609
374955,LOC374955,hypothetical protein LOC374955,chr1,16470443,16509225,NM_198546
55707,NECAP2,adaptin-ear-binding coat-associated protein 2,chr1,16512538,16531878,NM_018090
440570,LOC440570,hypothetical protein LOC440570,chr1,16605655,16608789,NM_001013708
440570,LOC440570,hypothetical protein LOC440570,chr1,16942745,16945880,NM_001013708
9696,CROCC,"ciliary rootlet coiled-coil, rootletin",chr1,16993750,17044766,NM_014675
4237,MFAP2,microfibrillar-associated protein 2 precursor,chr1,17046306,17052445,NM_002403
4237,MFAP2,microfibrillar-associated protein 2 precursor,chr1,17046306,17053387,NM_017459
23400,ATP13A2,ATPase type 13A2,chr1,17057758,17083573,NM_022089
6390,SDHB,"succinate dehydrogenase complex, subunit B, iron",chr1,17090558,17125952,NM_003000
11240,PADI2,"peptidyl arginine deiminase, type II",chr1,17140558,17191236,NM_007365
29943,PADI1,peptidylarginine deiminase type I,chr1,17276935,17316654,NM_013358
51702,PADI3,peptidylarginine deiminase type III,chr1,17320898,17356031,NM_016233
23569,PADI4,"peptidyl arginine deiminase, type IV",chr1,17379997,17435801,NM_012387
353238,PADI6,peptidylarginine deiminase type 6,chr1,17444046,17473265,NM_207421
55920,TD-60,RCC1-like,chr1,17478584,17511526,NM_018715
55160,FLJ10521,hypothetical protein LOC55160 isoform 1,chr1,17611635,17769675,NM_018125
55160,FLJ10521,hypothetical protein LOC55160 isoform 2,chr1,17652353,17769675,NM_001011722
81569,LOC81569,actin like protein,chr1,17827149,17898862,NM_030812
84966,MGC15730,hypothetical protein LOC84966,chr1,18179545,18450282,NM_032880
127707,FLJ38753,hypothetical protein LOC127707,chr1,18553171,18555605,NM_152375
5081,PAX7,paired box gene 7 isoform 1,chr1,18702805,18807937,NM_002584
5081,PAX7,paired box gene 7 isoform 2,chr1,18702805,18807938,NM_013945
80834,TAS1R2,"taste receptor, type 1, member 2",chr1,18911398,18931461,NM_152232
8659,ALDH4A1,aldehyde dehydrogenase 4A1 precursor,chr1,18943231,18974378,NM_003748
8659,ALDH4A1,aldehyde dehydrogenase 4A1 precursor,chr1,18943231,18974378,NM_170726
23352,RBAF600,retinoblastoma-associated factor 600,chr1,19146631,19282048,NM_020765
23065,KIAA0090,hypothetical protein LOC23065,chr1,19289890,19323352,NM_015047
51154,C1orf33,ribosomal protein P0-like protein,chr1,19323604,19331064,NM_016183
246181,AFAR3,aflatoxin B1 aldehyde reductase 3,chr1,19337783,19345741,NM_201252
22977,AKR7A3,"aldo-keto reductase family 7, member A3",chr1,19354362,19360586,NM_012067
8574,AKR7A2,"aldo-keto reductase family 7, member A2",chr1,19375768,19383946,NM_003689
54896,PQLC2,PQ loop repeat containing 2,chr1,19384125,19404227,NM_017765
832,CAPZB,F-actin capping protein beta subunit,chr1,19411069,19491551,NM_004930
4681,NBL1,"neuroblastoma, suppression of tumorigenicity 1",chr1,19715031,19730251,NM_182744
4681,NBL1,"neuroblastoma, suppression of tumorigenicity 1",chr1,19716120,19730251,NM_005380
3362,HTR6,5-hydroxytryptamine (serotonin) receptor 6,chr1,19737085,19751361,NM_000871
255104,LOC255104,hypothetical protein LOC255104,chr1,19754040,19871716,NM_181719
54546,RNF186,ring finger protein 186,chr1,19885827,19887077,NM_019062
30814,PLA2G2E,"phospholipase A2, group IIE",chr1,19992105,19995416,NM_014589
5320,PLA2G2A,"phospholipase A2, group IIA",chr1,20047239,20052215,NM_000300
5322,PLA2G5,"phospholipase A2, group V",chr1,20142143,20162959,NM_000929
26279,PLA2G2D,"phospholipase A2, group IID",chr1,20183741,20191314,NM_012400
64600,PLA2G2F,"phospholipase A2, group IIF",chr1,20211124,20222178,NM_022819
127733,UBXD3,UBX domain containing 3,chr1,20257883,20265247,NM_152376
55450,CaMKIINalpha,calcium/calmodulin-dependent protein kinase II,chr1,20555242,20557578,NM_018584
79594,FLJ12875,hypothetical protein LOC79594,chr1,20571248,20579960,NM_024544
163933,FAM43B,hypothetical protein LOC163933,chr1,20624237,20626806,NM_207334
978,CDA,cytidine deaminase,chr1,20660836,20690702,NM_001785
65018,PINK1,PTEN induced putative kinase 1,chr1,20705253,20723309,NM_032409
1650,DDOST,dolichyl-diphosphooligosaccharide-protein,chr1,20723576,20733250,NM_005216
57576,KIF17,kinesin family member 17,chr1,20735814,20789816,NM_020816
50809,HP1-BP74,HP1-BP74,chr1,20814933,20852339,NM_016287
8672,EIF4G3,eukaryotic translation initiation factor 4,chr1,20878280,21183182,NM_003760
1889,ECE1,endothelin converting enzyme 1,chr1,21291657,21362213,NM_001397
84224,AE2,hypothetical protein LOC84224,chr1,21511936,21556698,NM_032264
249,ALPL,tissue non-specific alkaline phosphatase,chr1,21581174,21650208,NM_000478
5909,RAP1GA1,"RAP1, GTPase activating protein 1",chr1,21668020,21741105,NM_002885
84196,USP48,ubiquitin specific protease 48,chr1,21750393,21854960,NM_032236
401944,LOC401944,hypothetical protein LOC401944,chr1,21884063,21897020,NM_001013693
3339,HSPG2,heparan sulfate proteoglycan 2,chr1,21894042,22009053,NM_005529
23436,ELA3B,elastase 3B preproprotein,chr1,22048723,22061151,NM_007352
10136,ELA3A,"elastase 3, pancreatic preproprotein",chr1,22073454,22084339,NM_005747
998,CDC42,cell division cycle 42 isoform 2,chr1,22124487,22162290,NM_044472
998,CDC42,cell division cycle 42 isoform 1,chr1,22124487,22164741,NM_001791
54361,WNT4,"wingless-type MMTV integration site family,",chr1,22191504,22214916,NM_030761
9923,KIAA0478,KIAA0478 gene product,chr1,22523655,22600286,NM_014870
