affy_Mouse430_2
Genbank Acc	GO
BQ176806	GO:0000074(regulation of progression through cell cycle) GO:0001738(morphogenesis of a polarized epithelium) GO:0002009(morphogenesis of an epithelium) GO:0004385(guanylate kinase activity) GO:0005154(epidermal growth factor receptor binding) GO:0005198(structural molecule activity) GO:0005200(structural constituent of cytoskeleton) GO:0005515(protein binding) GO:0005624(membrane fraction) GO:0005737(cytoplasm) GO:0005856(cytoskeleton) GO:0005886(plasma membrane) GO:0005918(septate junction) GO:0005938(cell cortex) GO:0006605(protein targeting) GO:0007010(cytoskeleton organization and biogenesis) GO:0007268(synaptic transmission) GO:0007391(dorsal closure) GO:0007399(nervous system development) GO:0007417(central nervous system development) GO:0007422(peripheral nervous system development) GO:0008104(protein localization) GO:0008105(asymmetric protein localization) GO:0008283(cell proliferation) GO:0008285(negative regulation of cell proliferation) GO:0016020(membrane) GO:0016188(synaptic vesicle maturation) GO:0016323(basolateral plasma membrane) GO:0016327(apicolateral plasma membrane) GO:0016332(establishment and/or maintenance of polarity of embryonic epithelium) GO:0016333(morphogenesis of follicular epithelium) GO:0016334(establishment and/or maintenance of polarity of follicular epithelium) GO:0016335(morphogenesis of larval imaginal disc epithelium) GO:0016336(establishment and/or maintenance of polarity of larval imaginal disc epithelium) GO:0019717(synaptosome) GO:0019991(septate junction assembly) GO:0030182(neuron differentiation) GO:0030710(regulation of border follicle cell delamination) GO:0031234(extrinsic to internal side of plasma membrane) GO:0042127(regulation of cell proliferation) GO:0045167(asymmetric protein localization during cell fate commitment) GO:0045175(basal protein localization) GO:0045179(apical cortex) GO:0045186(zonula adherens assembly) GO:0045196(establishment and/or maintenance of neuroblast polarity) GO:0045197(establishment and/or maintenance of epithelial cell polarity) GO:0045202(synapse) GO:0045211(postsynaptic membrane) GO:0048169(regulation of long-term neuronal synaptic plasticity) EC 2.7.4.8
BI653492	GO:0005509(calcium ion binding) GO:0005529(sugar binding) GO:0005615(extracellular space) GO:0005783(endoplasmic reticulum) GO:0006457(protein folding) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0051082(unfolded protein binding)
AW545361	
AK004541	GO:0004812(aminoacyl-tRNA ligase activity) GO:0004830(tryptophan-tRNA ligase activity) GO:0005524(ATP binding) GO:0005737(cytoplasm) GO:0005829(cytosol) GO:0006418(tRNA aminoacylation for protein translation) GO:0006436(tryptophanyl-tRNA aminoacylation) EC 6.1.1.2
BC005762	GO:0000074(regulation of progression through cell cycle) GO:0000502(proteasome complex (sensu Eukaryota)) GO:0004175(endopeptidase activity) GO:0005634(nucleus) GO:0005839(proteasome core complex (sensu Eukaryota)) GO:0006510(ATP-dependent proteolysis) GO:0006511(ubiquitin-dependent protein catabolism) GO:0008233(peptidase activity) GO:0019773(proteasome core complex, alpha-subunit complex (sensu Eukaryota)) GO:0043161(proteasomal ubiquitin-dependent protein catabolism)
BC005549	GO:0000166(nucleotide binding) GO:0000300(peripheral to membrane of membrane fraction) GO:0003924(GTPase activity) GO:0003926(ARF small monomeric GTPase activity) GO:0005525(GTP binding) GO:0005783(endoplasmic reticulum) GO:0005789(endoplasmic reticulum membrane) GO:0005795(Golgi stack) GO:0005829(cytosol) GO:0006810(transport) GO:0006886(intracellular protein transport) GO:0006888(ER to Golgi vesicle-mediated transport) GO:0006998(nuclear membrane organization and biogenesis) GO:0007264(small GTPase mediated signal transduction) GO:0012505(endomembrane system) GO:0015031(protein transport) GO:0016192(vesicle-mediated transport) GO:0016529(sarcoplasmic reticulum) GO:0030127(COPII vesicle coat) GO:0045045(secretory pathway) GO:0048221(rough ER to cis-Golgi vesicle-mediated transport)
BG069656	
BC011152	
BC003350	GO:0005554(molecular function unknown) GO:0005634(nucleus) GO:0008180(signalosome complex) GO:0009640(photomorphogenesis)
BC011111	
BC025918	GO:0003735(structural constituent of ribosome) GO:0005622(intracellular) GO:0005730(nucleolus) GO:0005739(mitochondrion) GO:0005830(cytosolic ribosome (sensu Eukaryota)) GO:0005840(ribosome) GO:0006412(protein biosynthesis) GO:0006610(ribosomal protein import into nucleus) GO:0009793(embryonic development (sensu Magnoliophyta)) GO:0030529(ribonucleoprotein complex)
BC013702	GO:0003714(transcription corepressor activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0006564(L-serine biosynthesis) GO:0008152(metabolism) GO:0016491(oxidoreductase activity) GO:0016616(oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor) GO:0045892(negative regulation of transcription, DNA-dependent) GO:0051287(NAD binding) EC 1 EC 1.1.1
BM248615	
AF320340	
AK018610	
BQ175820	GO:0005215(transporter activity) GO:0006888(ER to Golgi vesicle-mediated transport) GO:0030126(COPI vesicle coat)
AI036318	
D50523	
BM948896	
BM123013	
BC025221	
AJ250693	
U46690	
BC027564	
AK010497	
AA208652	GO:0003735(structural constituent of ribosome) GO:0005830(cytosolic ribosome (sensu Eukaryota)) GO:0005840(ribosome) GO:0005843(cytosolic small ribosomal subunit (sensu Eukaryota)) GO:0006412(protein biosynthesis) GO:0007046(ribosome biogenesis)
BI735988	
BI152383	
BE134617	
AK011037	
AK004750	
AK003213	
BQ176989	
AV000235	GO:0000166(nucleotide binding) GO:0000747(conjugation with cellular fusion) GO:0000917(barrier septum formation) GO:0003924(GTPase activity) GO:0005515(protein binding) GO:0005525(GTP binding) GO:0005624(membrane fraction) GO:0005634(nucleus) GO:0005635(nuclear envelope) GO:0005737(cytoplasm) GO:0005829(cytosol) GO:0005856(cytoskeleton) GO:0005886(plasma membrane) GO:0006078(beta-1,6 glucan biosynthesis) GO:0006886(intracellular protein transport) GO:0006897(endocytosis) GO:0006935(chemotaxis) GO:0006972(hyperosmotic response) GO:0007010(cytoskeleton organization and biogenesis) GO:0007015(actin filament organization) GO:0007017(microtubule-based process) GO:0007155(cell adhesion) GO:0007160(cell-matrix adhesion) GO:0007164(establishment of tissue polarity) GO:0007186(G-protein coupled receptor protein signaling pathway) GO:0007229(integrin-mediated signaling pathway) GO:0007254(JNK cascade) GO:0007264(small GTPase mediated signal transduction) GO:0007266(Rho protein signal transduction) GO:0007298(border follicle cell migration (sensu Insecta)) GO:0007391(dorsal closure) GO:0007409(axonogenesis) GO:0007411(axon guidance) GO:0007419(ventral cord development) GO:0007422(peripheral nervous system development) GO:0007424(tracheal system development (sensu Insecta)) GO:0007426(tracheal outgrowth (sensu Insecta)) GO:0007519(striated muscle development) GO:0007520(myoblast fusion) GO:0008283(cell proliferation) GO:0008347(glial cell migration) GO:0008360(regulation of cell shape) GO:0009272(cell wall biosynthesis (sensu Fungi)) GO:0015031(protein transport) GO:0016020(membrane) GO:0016023(cytoplasmic membrane-bound vesicle) GO:0016028(rhabdomere) GO:0016049(cell growth) GO:0016335(morphogenesis of larval imaginal disc epithelium) GO:0016358(dendrite development) GO:0016477(cell migration) GO:0019897(extrinsic to plasma membrane) GO:0030027(lamellipodium) GO:0030031(cell projection biogenesis) GO:0030032(lamellipodium biogenesis) GO:0030036(actin cytoskeleton organization and biogenesis) GO:0030154(cell differentiation) GO:0030175(filopodium) GO:0030467(establishment and/or maintenance of cell polarity (sensu Fungi)) GO:0030707(ovarian follicle cell development (sensu Insecta)) GO:0030838(positive regulation of actin filament polymerization) GO:0030950(establishment and/or maintenance of actin cytoskeleton polarity) GO:0031520(plasma membrane of cell tip) GO:0035099(hemocyte migration (sensu Arthropoda)) GO:0035320(wing hair site selection) GO:0042052(rhabdomere development) GO:0042067(establishment of ommatidial polarity (sensu Endopterygota)) GO:0042995(cell projection) GO:0043149(stress fiber formation) GO:0043524(negative regulation of neuron apoptosis) GO:0043552(positive regulation of phosphoinositide 3-kinase activity) GO:0045216(intercellular junction assembly and maintenance) GO:0045610(regulation of hemocyte differentiation) GO:0046664(dorsal closure, amnioserosa morphology change) GO:0046843(dorsal appendage formation) GO:0046847(filopodium formation) GO:0050770(regulation of axonogenesis) GO:0050773(regulation of dendrite development) GO:0050807(regulation of synapse structure) GO:0051286(cell tip) GO:0051301(cell division)
AA866997	
AW536361	GO:0005554(molecular function unknown) GO:0007492(endoderm development) GO:0008372(cellular component unknown)
AV017766	GO:0000004(biological process unknown) GO:0005515(protein binding) GO:0008372(cellular component unknown)
BG806432	
BQ174223	
BG972112	
W08638	
BG071718	
BI080296	
NM_009005	GO:0000166(nucleotide binding) GO:0003924(GTPase activity) GO:0005525(GTP binding) GO:0005764(lysosome) GO:0005770(late endosome) GO:0005794(Golgi apparatus) GO:0006810(transport) GO:0006886(intracellular protein transport) GO:0006896(Golgi to vacuole transport) GO:0006898(receptor mediated endocytosis) GO:0007035(vacuolar acidification) GO:0007165(signal transduction) GO:0007264(small GTPase mediated signal transduction) GO:0008333(endosome to lysosome transport) GO:0009847(spore germination) GO:0015031(protein transport) GO:0016197(endosome transport) GO:0017157(regulation of exocytosis) GO:0030100(regulation of endocytosis) GO:0031321(prospore formation) GO:0035071(salivary gland cell autophagic cell death) GO:0042144(vacuole fusion, non-autophagic) GO:0045324(late endosome to vacuole transport) GO:0048102(autophagic cell death) GO:0051469(vesicle fusion with vacuole)
NM_015735	GO:0003677(DNA binding) GO:0003684(damaged DNA binding) GO:0009793(embryonic development (sensu Magnoliophyta))
NM_020031	
NM_019437	GO:0005737(cytoplasm) GO:0008531(riboflavin kinase activity) GO:0009231(riboflavin biosynthesis) EC 2.7.1.26
NM_025334	
NM_133693	
NM_008950	GO:0000166(nucleotide binding) GO:0000502(proteasome complex (sensu Eukaryota)) GO:0003676(nucleic acid binding) GO:0003712(transcription cofactor activity) GO:0004175(endopeptidase activity) GO:0005515(protein binding) GO:0005524(ATP binding) GO:0005634(nucleus) GO:0005675(transcription factor TFIIH complex) GO:0005737(cytoplasm) GO:0005829(cytosol) GO:0005837(26S proteasome) GO:0005838(proteasome regulatory particle (sensu Eukaryota)) GO:0006366(transcription from RNA polymerase II promoter) GO:0006508(proteolysis) GO:0006510(ATP-dependent proteolysis) GO:0006511(ubiquitin-dependent protein catabolism) GO:0008134(transcription factor binding) GO:0008233(peptidase activity) GO:0008540(proteasome regulatory particle, base subcomplex (sensu Eukaryota)) GO:0008575(proteasome ATPase activity) GO:0016301(kinase activity) GO:0016481(negative regulation of transcription) GO:0016740(transferase activity) GO:0016787(hydrolase activity) GO:0016887(ATPase activity) GO:0017111(nucleoside-triphosphatase activity) GO:0030163(protein catabolism) GO:0043234(protein complex) GO:0050875(cellular physiological process) EC 2 EC 3 EC 3.6.1.15
NM_011626	
BC016485	
NM_010412	GO:0000122(negative regulation of transcription from RNA polymerase II promoter) GO:0003714(transcription corepressor activity) GO:0004407(histone deacetylase activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0005737(cytoplasm) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007507(heart development) GO:0016564(transcriptional repressor activity) GO:0016568(chromatin modification) GO:0016787(hydrolase activity) EC 3
BC022974	
NM_007834	
AF363690	
C80812	
NM_021608	
NM_017475	GO:0003924(GTPase activity) GO:0005488(binding) GO:0005525(GTP binding) GO:0005634(nucleus) GO:0005737(cytoplasm) GO:0006810(transport) GO:0007264(small GTPase mediated signal transduction) GO:0008289(lipid binding)
BC019504	
BC020024	
BC016084	
BC005632	
BC024419	GO:0003899(DNA-directed RNA polymerase activity) GO:0005515(protein binding) GO:0005666(DNA-directed RNA polymerase III complex) GO:0005736(DNA-directed RNA polymerase I complex) GO:0006354(RNA elongation) GO:0006360(transcription from RNA polymerase I promoter) GO:0006366(transcription from RNA polymerase II promoter) GO:0006383(transcription from RNA polymerase III promoter) GO:0016591(DNA-directed RNA polymerase II, holoenzyme) EC 2.7.7.6
BC019372	
BB667523	
BM948896	
BM118442	
BC028547	
BC027632	
AV021593	
AV021593	
BE853401	
AK003350	
BI080136	
BQ175529	
BB350365	
AV054417	
NM_008395	
NM_031392	
BF118393	GO:0000166(nucleotide binding) GO:0003676(nucleic acid binding) GO:0003677(DNA binding) GO:0003723(RNA binding) GO:0005634(nucleus) GO:0005730(nucleolus)
BF118393	GO:0000166(nucleotide binding) GO:0003676(nucleic acid binding) GO:0003677(DNA binding) GO:0003723(RNA binding) GO:0005634(nucleus) GO:0005730(nucleolus)
BF118393	GO:0000166(nucleotide binding) GO:0003676(nucleic acid binding) GO:0003677(DNA binding) GO:0003723(RNA binding) GO:0005634(nucleus) GO:0005730(nucleolus)
NM_021448	
BC003785	GO:0000122(negative regulation of transcription from RNA polymerase II promoter) GO:0000910(cytokinesis) GO:0003682(chromatin binding) GO:0005515(protein binding) GO:0005634(nucleus) GO:0005667(transcription factor complex) GO:0005678(chromatin assembly complex) GO:0005700(polytene chromosome) GO:0006260(DNA replication) GO:0006281(DNA repair) GO:0006334(nucleosome assembly) GO:0006335(DNA replication-dependent nucleosome assembly) GO:0006338(chromatin remodeling) GO:0006342(chromatin silencing) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007049(cell cycle) GO:0007275(development) GO:0007307(chorion gene amplification) GO:0016564(transcriptional repressor activity) GO:0016568(chromatin modification) GO:0016571(histone methylation) GO:0016573(histone acetylation) GO:0016581(NuRD complex) GO:0016584(nucleosome spacing) GO:0016585(chromatin remodeling complex) GO:0016589(NURF complex) GO:0016590(ACF complex) GO:0031507(heterochromatin formation) GO:0031523(Myb complex) GO:0035035(histone acetyltransferase binding) GO:0035098(ESC/E(Z) complex) GO:0042393(histone binding) GO:0042766(nucleosome mobilization) GO:0042826(histone deacetylase binding) GO:0046974(histone lysine N-methyltransferase activity (H3-K9 specific)) GO:0046976(histone lysine N-methyltransferase activity (H3-K27 specific))
NM_007437	GO:0004028(3-chloroallyl aldehyde dehydrogenase activity) GO:0004029(aldehyde dehydrogenase (NAD) activity) GO:0004030(aldehyde dehydrogenase [NAD(P)+] activity) GO:0005743(mitochondrial inner membrane) GO:0005783(endoplasmic reticulum) GO:0005792(microsome) GO:0006081(aldehyde metabolism) GO:0008152(metabolism) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016491(oxidoreductase activity) EC 1 EC 1.2.1.3 EC 1.2.1.5
NM_018874	
NM_019768	GO:0001558(regulation of cell growth) GO:0003682(chromatin binding) GO:0005515(protein binding) GO:0005634(nucleus) GO:0006338(chromatin remodeling) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0008283(cell proliferation) GO:0016568(chromatin modification) GO:0016585(chromatin remodeling complex)
NM_013798	
NM_026139	
NM_133354	GO:0006464(protein modification) GO:0006512(ubiquitin cycle) GO:0008372(cellular component unknown) GO:0016925(protein sumoylation) GO:0019949(SUMO conjugating enzyme activity)
NM_133354	GO:0006464(protein modification) GO:0006512(ubiquitin cycle) GO:0008372(cellular component unknown) GO:0016925(protein sumoylation) GO:0019949(SUMO conjugating enzyme activity)
BI654068	
BI654068	
NM_009840	GO:0005737(cytoplasm) GO:0005832(chaperonin-containing T-complex) GO:0005856(cytoskeleton) GO:0006457(protein folding) GO:0007010(cytoskeleton organization and biogenesis) GO:0007021(tubulin folding) GO:0051082(unfolded protein binding)
NM_025973	
NM_008060	
BF158817	GO:0005554(molecular function unknown)
BF158817	GO:0005554(molecular function unknown)
BF158817	GO:0005554(molecular function unknown)
NM_030564	
NM_019705	
NM_134021	
BM228780	GO:0005554(molecular function unknown) GO:0005819(spindle) GO:0007049(cell cycle) GO:0007143(female meiosis) GO:0007275(development) GO:0007276(gametogenesis)
BM228780	GO:0005554(molecular function unknown) GO:0005819(spindle) GO:0007049(cell cycle) GO:0007143(female meiosis) GO:0007275(development) GO:0007276(gametogenesis)
NM_011873	
BF225985	GO:0000166(nucleotide binding) GO:0004672(protein kinase activity) GO:0004674(protein serine/threonine kinase activity) GO:0004713(protein-tyrosine kinase activity) GO:0004714(transmembrane receptor protein tyrosine kinase activity) GO:0004872(receptor activity) GO:0005524(ATP binding) GO:0006468(protein amino acid phosphorylation) GO:0007155(cell adhesion) GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway) GO:0008284(positive regulation of cell proliferation) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016301(kinase activity) GO:0016740(transferase activity) EC 2 EC 2.7.1.37 EC 2.7.10.2
BF225985	GO:0000166(nucleotide binding) GO:0004672(protein kinase activity) GO:0004674(protein serine/threonine kinase activity) GO:0004713(protein-tyrosine kinase activity) GO:0004714(transmembrane receptor protein tyrosine kinase activity) GO:0004872(receptor activity) GO:0005524(ATP binding) GO:0006468(protein amino acid phosphorylation) GO:0007155(cell adhesion) GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway) GO:0008284(positive regulation of cell proliferation) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016301(kinase activity) GO:0016740(transferase activity) EC 2 EC 2.7.1.37 EC 2.7.10.2
NM_021714	
M63801	GO:0001764(neuron migration) GO:0005243(gap-junction forming channel activity) GO:0005921(gap junction) GO:0005922(connexon complex) GO:0007154(cell communication) GO:0007267(cell-cell signaling) GO:0008016(regulation of heart contraction) GO:0015285(connexon channel activity) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0030054(cell junction) GO:0035050(embryonic heart tube development) GO:0043403(skeletal muscle regeneration) GO:0045844(positive regulation of striated muscle development)
M63801	GO:0001764(neuron migration) GO:0005243(gap-junction forming channel activity) GO:0005921(gap junction) GO:0005922(connexon complex) GO:0007154(cell communication) GO:0007267(cell-cell signaling) GO:0008016(regulation of heart contraction) GO:0015285(connexon channel activity) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0030054(cell junction) GO:0035050(embryonic heart tube development) GO:0043403(skeletal muscle regeneration) GO:0045844(positive regulation of striated muscle development)
NM_009196	
AF010586	
AF010586	
NM_025469	
NM_008872	GO:0004252(serine-type endopeptidase activity) GO:0005576(extracellular region) GO:0005615(extracellular space) GO:0005737(cytoplasm) GO:0006508(proteolysis) GO:0008233(peptidase activity) GO:0008243(plasminogen activator activity) GO:0016787(hydrolase activity) GO:0030141(secretory granule) GO:0045177(apical part of cell) GO:0048008(platelet-derived growth factor receptor signaling pathway) EC 3 EC 3.4.21 EC 3.4.21.73
AK011528	GO:0000166(nucleotide binding) GO:0000381(regulation of alternative nuclear mRNA splicing, via spliceosome) GO:0000398(nuclear mRNA splicing, via spliceosome) GO:0000785(chromatin) GO:0003676(nucleic acid binding) GO:0003677(DNA binding) GO:0003723(RNA binding) GO:0003729(mRNA binding) GO:0005515(protein binding) GO:0005634(nucleus) GO:0005681(spliceosome complex) GO:0006376(mRNA splice site selection) GO:0006397(mRNA processing) GO:0016607(nuclear speck) GO:0035062(omega speckle)
NM_009411	GO:0000004(biological process unknown) GO:0005554(molecular function unknown) GO:0005615(extracellular space)
NM_009411	GO:0000004(biological process unknown) GO:0005554(molecular function unknown) GO:0005615(extracellular space)
BB702754	
BB702754	
NM_010354	
NM_007466	GO:0005488(binding) GO:0005634(nucleus) GO:0005681(spliceosome complex) GO:0006915(apoptosis) GO:0006916(anti-apoptosis)
NM_007509	GO:0000260(hydrogen-translocating V-type ATPase activity) GO:0005554(molecular function unknown) GO:0005624(membrane fraction) GO:0006754(ATP biosynthesis) GO:0006810(transport) GO:0006811(ion transport) GO:0006885(regulation of pH) GO:0007035(vacuolar acidification) GO:0007605(sensory perception of sound) GO:0015078(hydrogen ion transporter activity) GO:0015992(proton transport) GO:0016323(basolateral plasma membrane) GO:0016324(apical plasma membrane) GO:0016787(hydrolase activity) GO:0046872(metal ion binding) GO:0046933(hydrogen-transporting ATP synthase activity, rotational mechanism) EC 3
NM_009054	GO:0003677(DNA binding) GO:0005515(protein binding) GO:0005622(intracellular) GO:0005634(nucleus) GO:0005737(cytoplasm) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0008270(zinc ion binding) GO:0046872(metal ion binding)
NM_007638	GO:0003754(chaperone activity) GO:0005737(cytoplasm) GO:0005832(chaperonin-containing T-complex) GO:0005856(cytoskeleton) GO:0006457(protein folding) GO:0007010(cytoskeleton organization and biogenesis) GO:0007021(tubulin folding) GO:0008372(cellular component unknown) GO:0051082(unfolded protein binding)
NM_007638	GO:0003754(chaperone activity) GO:0005737(cytoplasm) GO:0005832(chaperonin-containing T-complex) GO:0005856(cytoskeleton) GO:0006457(protein folding) GO:0007010(cytoskeleton organization and biogenesis) GO:0007021(tubulin folding) GO:0008372(cellular component unknown) GO:0051082(unfolded protein binding)
NM_013472	GO:0005509(calcium ion binding) GO:0005544(calcium-dependent phospholipid binding) GO:0005634(nucleus) GO:0006816(calcium ion transport) GO:0006937(regulation of muscle contraction) GO:0008429(phosphatidylethanolamine binding) GO:0048471(perinuclear region)
BC006606	GO:0000159(protein phosphatase type 2A complex) GO:0004722(protein serine/threonine phosphatase activity) GO:0006470(protein amino acid dephosphorylation) GO:0008287(protein serine/threonine phosphatase complex) GO:0008601(protein phosphatase type 2A regulator activity) GO:0009738(abscisic acid mediated signaling) GO:0030952(establishment and/or maintenance of cytoskeleton polarity)
NM_023144	
NM_009145	
BG060909	GO:0004768(stearoyl-CoA 9-desaturase activity) GO:0004785(copper, zinc superoxide dismutase activity) GO:0005506(iron ion binding) GO:0005783(endoplasmic reticulum) GO:0006633(fatty acid biosynthesis) GO:0006801(superoxide metabolism) GO:0008610(lipid biosynthesis) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016491(oxidoreductase activity) GO:0016717(oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water) GO:0046872(metal ion binding) EC 1 EC 1.14.19 EC 1.14.19.1
BG060909	GO:0004768(stearoyl-CoA 9-desaturase activity) GO:0004785(copper, zinc superoxide dismutase activity) GO:0005506(iron ion binding) GO:0005783(endoplasmic reticulum) GO:0006633(fatty acid biosynthesis) GO:0006801(superoxide metabolism) GO:0008610(lipid biosynthesis) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016491(oxidoreductase activity) GO:0016717(oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water) GO:0046872(metal ion binding) EC 1 EC 1.14.19 EC 1.14.19.1
BG060909	GO:0004768(stearoyl-CoA 9-desaturase activity) GO:0004785(copper, zinc superoxide dismutase activity) GO:0005506(iron ion binding) GO:0005783(endoplasmic reticulum) GO:0006633(fatty acid biosynthesis) GO:0006801(superoxide metabolism) GO:0008610(lipid biosynthesis) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016491(oxidoreductase activity) GO:0016717(oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water) GO:0046872(metal ion binding) EC 1 EC 1.14.19 EC 1.14.19.1
NM_024249	
NM_133826	
BF658806	
BF658806	
NM_133815	
NM_011959	
NM_134101	GO:0000074(regulation of progression through cell cycle) GO:0004175(endopeptidase activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0005838(proteasome regulatory particle (sensu Eukaryota)) GO:0006508(proteolysis) GO:0008540(proteasome regulatory particle, base subcomplex (sensu Eukaryota)) GO:0030234(enzyme regulator activity) GO:0043161(proteasomal ubiquitin-dependent protein catabolism)
NM_007429	GO:0001584(rhodopsin-like receptor activity) GO:0002033(angiotensin mediated vasodilation during regulation of blood pressure) GO:0002035(brain renin-angiotensin system) GO:0004871(signal transducer activity) GO:0004872(receptor activity) GO:0004930(G-protein coupled receptor activity) GO:0004945(angiotensin type II receptor activity) GO:0004947(bradykinin receptor activity) GO:0007165(signal transduction) GO:0007186(G-protein coupled receptor protein signaling pathway) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0043524(negative regulation of neuron apoptosis) GO:0045028(purinergic nucleotide receptor activity, G-protein coupled)
NM_009093	GO:0003735(structural constituent of ribosome) GO:0005739(mitochondrion) GO:0005840(ribosome) GO:0006412(protein biosynthesis)
NM_026268	
NM_008865	
NM_019698	GO:0003824(catalytic activity) GO:0004349(glutamate 5-kinase activity) GO:0004350(glutamate-5-semialdehyde dehydrogenase activity) GO:0005737(cytoplasm) GO:0005739(mitochondrion) GO:0005743(mitochondrial inner membrane) GO:0006561(proline biosynthesis) GO:0008152(metabolism) GO:0008652(amino acid biosynthesis) GO:0016020(membrane) GO:0016301(kinase activity) GO:0016491(oxidoreductase activity) GO:0016740(transferase activity) GO:0017084(delta1-pyrroline-5-carboxylate synthetase activity) EC 1 EC 1.2.1.41 EC 2 EC 2.7.2.11
